rating_id,user_id,movie_id,rating_value,rating_date
1,1,1,4.5,2024-06-01
2,1,3,4.2,2024-06-02
3,2,2,5,2024-06-03
4,2,5,4.6,2024-06-04
5,3,4,4,2024-06-05
6,3,6,4.3,2024-06-06
7,4,2,4.8,2024-06-07
8,4,8,4.9,2024-06-08
9,5,1,3.9,2024-06-09
10,5,7,4.7,2024-06-10
11,6,9,4.2,2024-06-11
12,6,10,4.5,2024-06-12
13,7,5,4.6,2024-06-13
14,7,12,4.3,2024-06-14
15,8,11,3.8,2024-06-15
16,8,14,4.1,2024-06-16
17,9,13,4.7,2024-06-17
18,9,15,4.9,2024-06-18
19,10,3,3.6,2024-06-19
20,10,17,4.4,2024-06-20
21,11,16,4.8,2024-06-21
22,11,19,4.9,2024-06-22
23,12,18,4.5,2024-06-23
24,12,20,4.7,2024-06-24
25,13,7,4.2,2024-06-25
26,13,10,4.4,2024-06-26
27,14,9,3.7,2024-06-27
28,14,2,4.5,2024-06-28
29,15,8,4.1,2024-06-29
30,15,6,4,2024-06-30
31,16,4,4.3,2024-07-01
32,16,19,4.6,2024-07-02
33,17,11,4.7,2024-07-03
34,17,13,4.8,2024-07-04
35,18,1,3.5,2024-07-05
36,18,14,4.2,2024-07-06
37,19,15,4,2024-07-07
38,19,18,4.3,2024-07-08
39,20,5,4.9,2024-07-09
40,20,9,4.6,2024-07-10
41,1,7,4.3,2024-07-11
42,2,8,4.5,2024-07-12
43,3,10,4.1,2024-07-13
44,4,12,4.8,2024-07-14
45,5,13,4.6,2024-07-15
46,6,14,3.9,2024-07-16
47,7,16,4.5,2024-07-17
48,8,17,4.7,2024-07-18
49,9,19,4.8,2024-07-19
50,10,20,4.9,2024-07-20
51,11,15,4.1,2024-07-21
52,12,11,4.3,2024-07-22
53,13,9,4.5,2024-07-23
54,14,6,4.2,2024-07-24
55,15,5,4.4,2024-07-25
56,16,8,4.7,2024-07-26
57,17,2,4.6,2024-07-27
58,18,4,4.1,2024-07-28
59,19,7,4.3,2024-07-29
60,20,10,4.9,2024-07-30
