movie_id,title,release_year,genre,director
1,Inception,2010,Sci-Fi,Christopher Nolan
2,Black Panther,2018,Action,Ryan Coogler
3,Titanic,1997,Romance,James Cameron
4,The Matrix,1999,Sci-Fi,Lana Wachowski
5,Avatar,2009,Adventure,James Cameron
6,The Dark Knight,2008,Action,Christopher Nolan
7,Avengers: Endgame,2019,Action,Anthony Russo
8,The Shawshank Redemption,1994,Drama,Frank Darabont
9,Forrest Gump,1994,Drama,Robert Zemeckis
10,Interstellar,2014,Sci-Fi,Christopher Nolan
11,Joker,2019,Drama,Todd Phillips
12,Parasite,2019,Thriller,Bong Joon Ho
13,Gladiator,2000,Action,Ridley Scott
14,Frozen,2013,Animation,Chris Buck
15,The Lion King,1994,Animation,Roger Allers
16,Doctor Strange,2016,Action,Scott Derrickson
17,The Godfather,1972,Crime,Francis Coppola
18,Spider-Man: No Way Home,2021,Action,Jon Watts
19,Dune,2021,Sci-Fi,Denis Villeneuve
20,Oppenheimer,2023,Biography,Christopher Nolan
